"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ROX","Castle Brands, Inc.","0.31","33232620","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ROX&selected=ROX",
"CAW","CCA Industries, Inc.","5.9301","36096518.7","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAW&selected=CAW",
"CVM","Cel-Sci Corporation","0.7","144960900","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVM&selected=CVM",
"CEF","Central Fund of Canada Limited","23.28","5547228240","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEF&selected=CEF",
"GTU","Central Gold Trust","55.67","607805060","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GTU&selected=GTU",
"CET","Central Securities Corporation","23.36","520507520","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CET&selected=CET",
"CCF","Chase Corporation","16.35","146463300","n/a","Consumer Durables","Building Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CCF&selected=CCF",
"CQP","Cheniere Energy Partners, LP","18.19","480597990","2007","Public Utilities","Oil/Gas Transmission","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CQP&selected=CQP",
"LNG","Cheniere Energy, Inc.","8.39","585319960","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=LNG&selected=LNG",
"CVR","Chicago Rivet & Machine Co.","18","17388000","n/a","Technology","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVR&selected=CVR",
"AXN","China Aoxing Pharmaceutical Company, Inc.","1.95","90678900","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXN&selected=AXN",
"CNAM","China Armco Metals, Inc.","2.06","31169860","n/a","Consumer Durables","Steel/Iron Ore","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNAM&selected=CNAM",
